"Time","MEDICINE","WINE","FERTILIZER","IRON","PIG_IRON","STEEL","TOOLS"
"39","10","10","10","0","0","0","10"
"60","10","10","10","0","0","0","10"
"81","10","10","10","0","0","0","10"
"197","10","10","10","0","0","0","10"
"1627","10","10","10","10","0","0","10"
"1630","10","10","10","10","0","0","10"
"3163","10","10","10","20","0","0","2"
"3164","10","10","10","20","0","0","2"
"3275","10","10","10","17","10","0","2"
"3276","10","10","10","10","10","0","2"
"4708","10","10","10","20","10","0","2"
"4719","10","10","10","20","10","0","2"
"4725","10","10","10","20","0","10","2"
"4726","10","10","10","20","0","10","2"
"6231","10","10","10","20","0","0","4"
"6245","10","10","10","20","0","0","4"
"6257","10","10","10","30","0","0","4"
"6261","10","10","10","30","0","0","4"
"6365","10","10","10","20","10","0","4"
"6369","10","10","10","20","10","0","4"
"7820","10","10","10","30","10","0","4"
"7828","10","10","10","30","10","0","4"
"9332","10","10","10","30","0","10","0"
"9336","10","10","10","30","0","10","0"
"9366","10","10","10","40","0","10","0"
"9375","10","10","10","40","0","10","0"
"9439","10","10","10","30","10","10","0"
"9443","10","10","10","30","10","10","0"
"12360","10","10","10","30","10","0","9"
"12361","10","10","10","30","10","0","9"
"12496","10","10","10","27","20","0","6"
"12500","10","10","10","30","20","0","6"
"12501","10","10","10","30","20","0","6"
"12504","10","10","10","30","20","0","6"
"13927","10","10","10","30","10","10","6"
"13931","10","10","10","30","10","10","6"
"15543","10","10","10","40","10","10","0"
"15544","10","10","10","40","10","10","0"
"15553","10","10","10","30","20","10","0"
"15554","10","10","10","30","20","10","0"
"18497","10","10","10","30","20","0","8"
"18498","10","10","10","30","20","0","8"
"18512","10","10","10","30","10","10","8"
"18517","10","10","10","30","10","10","8"
"18592","10","10","10","40","10","10","8"
"18595","10","10","10","40","10","10","8"
"18602","10","10","10","30","20","10","8"
"18605","10","10","10","30","20","10","8"
"21648","10","10","10","40","20","10","0"
"21654","10","10","10","40","20","10","0"
"21659","10","10","10","30","30","10","0"
"21663","10","10","10","30","30","10","0"
"22545","10","10","10","30","30","10","10"
"22555","10","10","10","30","30","0","10"
"23086","10","10","10","30","20","10","10"
"23087","10","10","10","30","20","10","10"
"24707","10","10","10","40","20","10","1"
"24710","10","10","10","40","20","10","1"
"24714","10","10","10","30","30","10","1"
"24718","10","10","10","30","30","10","1"
"25610","10","10","10","30","30","10","11"
