"Time","Thread-0","Thread-1","Thread-2","Thread-3"
"15","$100.00","$88.00","$88.00","$88.00"
"22","$100.00","$88.00","$88.00","$88.00"
"18","$100.00","$88.00","$88.00","$88.00"
"17","$100.00","$88.00","$88.00","$88.00"
"1626","$100.00","$88.00","$88.00","$88.00"
"1626","$100.00","$88.00","$88.00","$88.00"
"3153","$100.00","$88.00","$88.00","$88.00"
"3153","$100.00","$88.00","$88.00","$88.00"
"3274","$101.35","$86.65","$88.00","$88.00"
"3275","$101.35","$86.65","$88.00","$88.00"
"4695","$101.35","$86.65","$88.00","$88.00"
"4696","$101.35","$86.65","$88.00","$88.00"
"4725","$101.35","$102.53","$72.11","$88.00"
"4725","$101.35","$102.53","$72.11","$88.00"
"6222","$101.35","$102.53","$89.46","$81.97"
"6222","$101.35","$102.53","$89.46","$81.97"
"6255","$101.35","$102.53","$89.46","$81.97"
"6256","$101.35","$102.53","$89.46","$81.97"
"6360","$102.89","$100.99","$89.46","$81.97"
"6364","$102.89","$100.99","$89.46","$81.97"
"7806","$102.89","$100.99","$89.46","$81.97"
"7807","$102.89","$100.99","$89.46","$81.97"
"9329","$102.89","$107.30","$83.15","$89.51"
"9330","$102.89","$107.30","$83.15","$89.51"
"9364","$102.89","$107.30","$83.15","$89.51"
"9365","$102.89","$107.30","$83.15","$89.51"
"9435","$104.45","$105.74","$83.15","$89.51"
"9438","$104.45","$105.74","$83.15","$89.51"
"12360","$104.45","$105.74","$107.12","$68.33"
"12360","$104.45","$105.74","$107.12","$68.33"
"12496","$106.90","$103.29","$107.12","$76.71"
"12496","$106.90","$103.29","$107.12","$76.71"
"12498","$106.90","$103.29","$107.12","$76.71"
"12499","$106.90","$103.29","$107.12","$76.71"
"13925","$106.90","$109.77","$100.64","$76.71"
"13926","$106.90","$109.77","$100.64","$76.71"
"15543","$106.90","$109.77","$100.64","$93.47"
"15543","$106.90","$109.77","$100.64","$93.47"
"15553","$109.37","$107.30","$100.64","$93.47"
"15553","$109.37","$107.30","$100.64","$93.47"
"18479","$109.37","$107.30","$118.05","$83.97"
"18479","$109.37","$107.30","$118.05","$83.97"
"18509","$109.37","$116.11","$109.24","$83.97"
"18512","$109.37","$116.11","$109.24","$83.97"
"18590","$109.37","$116.11","$109.24","$83.97"
"18591","$109.37","$116.11","$109.24","$83.97"
"18601","$111.84","$113.64","$109.24","$83.97"
"18601","$111.84","$113.64","$109.24","$83.97"
"21636","$111.84","$113.64","$109.24","$115.59"
"21637","$111.84","$113.64","$109.24","$115.59"
"21659","$115.41","$110.07","$109.24","$115.59"
"21659","$115.41","$110.07","$109.24","$115.59"
"22544","$115.41","$110.07","$109.24","$115.59"
"22553","$115.41","$110.07","$131.26","$93.57"
"23085","$115.41","$119.82","$121.51","$93.57"
"23086","$115.41","$119.82","$121.51","$93.57"
"24705","$115.41","$119.82","$121.51","$128.24"
"24706","$115.41","$119.82","$121.51","$128.24"
"24714","$119.08","$116.15","$121.51","$128.24"
"24714","$119.08","$116.15","$121.51","$128.24"
"25608","$119.08","$116.15","$121.51","$128.24"
"25613","$119.08","$116.15","$145.94","$103.81"
"27666","$119.08","$128.85","$133.23","$146.26"
"27667","$119.08","$128.85","$133.23","$146.26"
"27760","$119.08","$128.85","$133.23","$146.26"
"27760","$119.08","$128.85","$133.23","$146.26"
"27782","$124.05","$123.89","$133.23","$146.26"
"27788","$124.05","$123.89","$133.23","$146.26"
"28076","$124.05","$123.89","$159.97","$119.52"
"28076","$124.05","$123.89","$159.97","$119.52"
"30519","$124.05","$123.89","$159.97","$166.86"
"30838","$124.05","$123.89","$159.97","$166.86"
"30838","$124.05","$123.89","$159.97","$166.86"
"30852","$129.10","$118.84","$159.97","$166.86"
"30853","$129.10","$118.84","$159.97","$166.86"
"32280","$129.10","$118.84","$191.85","$134.98"
"32283","$129.10","$131.58","$179.11","$134.98"
"32284","$129.10","$131.58","$179.11","$134.98"
"33910","$129.10","$131.58","$179.11","$181.86"
"33911","$129.10","$131.58","$179.11","$181.86"
"35336","$129.10","$131.58","$179.11","$181.86"
"35336","$129.10","$131.58","$212.72","$148.24"
"35337","$129.10","$131.58","$212.72","$148.24"
"35340","$129.10","$145.22","$199.09","$148.24"
"36982","$134.16","$140.16","$199.09","$219.60"
"36992","$134.16","$140.16","$199.09","$219.60"
"36992","$134.16","$140.16","$199.09","$219.60"
"36983","$134.16","$140.16","$199.09","$219.60"
"37637","$134.16","$155.07","$184.18","$219.60"
"37642","$134.16","$155.07","$184.18","$219.60"
"38396","$134.16","$155.07","$227.84","$175.94"
"38398","$134.16","$155.07","$227.84","$175.94"
"39938","$134.16","$172.61","$210.30","$250.32"
"39939","$134.16","$172.61","$210.30","$250.32"
"40054","$134.16","$172.61","$210.30","$250.32"
"40054","$134.16","$172.61","$210.30","$250.32"
"41458","$134.16","$172.61","$254.65","$205.97"
"41457","$134.16","$172.61","$254.65","$205.97"
"42232","$134.16","$197.53","$229.73","$205.97"
"42233","$134.16","$197.53","$229.73","$205.97"
"43110","$134.16","$197.53","$229.73","$288.44"
"43110","$134.16","$197.53","$229.73","$288.44"
"43116","$139.66","$192.03","$229.73","$288.44"
"43116","$139.66","$192.03","$229.73","$288.44"
"44518","$139.66","$192.03","$276.80","$241.36"
"44517","$139.66","$192.03","$276.80","$241.36"
"44523","$139.66","$218.97","$249.87","$241.36"
"44524","$139.66","$218.97","$249.87","$241.36"
"46168","$139.66","$218.97","$249.87","$330.00"
"46168","$139.66","$218.97","$249.87","$330.00"
"46823","$139.66","$218.97","$249.87","$330.00"
"47574","$139.66","$218.97","$308.37","$271.49"
"47574","$139.66","$218.97","$308.37","$271.49"
"49197","$145.84","$242.95","$278.20","$365.85"
"49198","$145.84","$242.95","$278.20","$365.85"
"49216","$145.84","$242.95","$278.20","$365.85"
"49216","$145.84","$242.95","$278.20","$365.85"
"49198","$145.84","$242.95","$278.20","$365.85"
"50611","$145.84","$242.95","$341.17","$302.88"
"50612","$145.84","$242.95","$341.17","$302.88"
"52279","$145.84","$242.95","$341.17","$399.11"
"52279","$145.84","$242.95","$341.17","$399.11"
"52279","$145.84","$242.95","$341.17","$399.11"
"53674","$145.84","$242.95","$448.59","$291.69"
"53674","$145.84","$242.95","$448.59","$291.69"
"55317","$145.84","$281.00","$410.54","$398.41"
"55329","$152.63","$274.21","$410.54","$398.41"
"55317","$152.63","$274.21","$410.54","$398.41"
"55337","$152.63","$274.21","$410.54","$398.41"
"55338","$152.63","$274.21","$410.54","$398.41"
"56730","$152.63","$274.21","$410.54","$398.41"
"58368","$152.63","$274.21","$410.54","$535.44"
"58387","$162.23","$264.62","$410.54","$535.44"
"58389","$162.23","$264.62","$410.54","$535.44"
"58389","$162.23","$264.62","$410.54","$535.44"
"59888","$162.23","$264.62","$562.81","$383.17"
"59889","$162.23","$316.63","$510.80","$383.17"
"59888","$162.23","$316.63","$510.80","$383.17"
"60411","$162.23","$316.63","$510.80","$383.17"
"60414","$172.04","$306.82","$510.80","$383.17"
"61422","$172.04","$306.82","$510.80","$471.08"
"61422","$172.04","$306.82","$510.80","$471.08"
"61943","$182.83","$296.03","$510.80","$471.08"
"61948","$182.83","$296.03","$510.80","$471.08"
"62936","$182.83","$296.03","$510.80","$471.08"
"62941","$182.83","$350.95","$455.89","$471.08"
"63176","$194.36","$339.42","$455.89","$471.08"
"63180","$194.36","$339.42","$455.89","$471.08"
"63964","$194.36","$339.42","$578.00","$637.08"
"63964","$194.36","$339.42","$578.00","$637.08"
"64402","$206.58","$327.19","$578.00","$637.08"
"64403","$206.58","$327.19","$578.00","$637.08"
"64483","$206.58","$327.19","$578.00","$637.08"
"64483","$206.58","$327.19","$578.00","$637.08"
"65243","$206.58","$327.19","$578.00","$637.08"
"65247","$206.58","$382.68","$522.51","$637.08"
"65625","$220.76","$368.51","$522.51","$637.08"
"65625","$220.76","$368.51","$522.51","$637.08"
"66855","$236.53","$352.74","$522.51","$637.08"
"66861","$236.53","$352.74","$522.51","$637.08"
"67023","$236.53","$352.74","$522.51","$815.44"
"67023","$236.53","$352.74","$703.98","$633.98"
"67093","$236.53","$409.41","$647.30","$780.32"
"67094","$236.53","$409.41","$647.30","$780.32"
"67549","$236.53","$409.41","$647.30","$780.32"
"67553","$236.53","$409.41","$647.30","$780.32"
"68393","$258.93","$387.02","$647.30","$780.32"
"68394","$258.93","$387.02","$647.30","$780.32"
"68941","$258.93","$478.91","$555.41","$780.32"
"68938","$258.93","$478.91","$555.41","$780.32"
"69464","$258.93","$478.91","$709.97","$778.87"
"69466","$258.93","$478.91","$727.15","$778.87"
"70432","$281.46","$456.38","$727.15","$778.87"
"70435","$281.46","$456.38","$727.15","$778.87"
"70613","$281.46","$456.38","$727.15","$778.87"
"70614","$281.46","$456.38","$727.15","$778.87"
"70772","$281.46","$550.70","$632.82","$778.87"
"70772","$281.46","$550.70","$632.82","$778.87"
"71497","$281.46","$550.70","$632.82","$778.87"
"71501","$281.46","$550.70","$805.67","$606.03"
"72606","$281.46","$645.76","$710.61","$1131.03"
"72607","$281.46","$645.76","$710.61","$1131.03"
"73256","$281.46","$645.76","$710.61","$1131.03"
"73260","$281.46","$645.76","$938.05","$903.59"
"73492","$319.15","$608.07","$938.05","$903.59"
"73492","$319.15","$608.07","$938.05","$903.59"
"73665","$319.15","$608.07","$938.05","$903.59"
"73675","$319.15","$608.07","$938.05","$903.59"
"74450","$319.15","$705.64","$840.48","$903.59"
"74451","$319.15","$705.64","$840.48","$903.59"
"74797","$319.15","$705.64","$1076.13","$667.93"
"74796","$319.15","$705.64","$1076.13","$667.93"
"76156","$319.15","$705.64","$1313.23","$1090.56"
"76157","$319.15","$705.64","$1313.23","$1090.56"
"76281","$319.15","$816.61","$1202.26","$1090.56"
"76289","$319.15","$816.61","$1202.26","$1090.56"
"76549","$360.30","$775.46","$1202.26","$1090.56"
"76547","$360.30","$775.46","$1202.26","$1090.56"
"76729","$360.30","$775.46","$1202.26","$1090.56"
"76729","$360.30","$775.46","$1202.26","$1090.56"
"77525","$360.30","$775.46","$1466.84","$825.98"
"77526","$360.30","$775.46","$1466.84","$825.98"
"78121","$360.30","$890.20","$1352.09","$825.98"
"78122","$360.30","$890.20","$1352.09","$825.98"
"78891","$360.30","$890.20","$1630.92","$1324.72"
"78892","$360.30","$890.20","$1630.92","$1324.72"
"79589","$404.07","$846.43","$1630.92","$1324.72"
"79590","$404.07","$846.43","$1630.92","$1324.72"
"79773","$404.07","$846.43","$1630.92","$1324.72"
"79774","$404.07","$846.43","$1630.92","$1324.72"
"79957","$404.07","$994.27","$1483.08","$1324.72"
"79957","$404.07","$994.27","$1483.08","$1324.72"
"80254","$404.07","$994.27","$1783.56","$1024.24"
"80254","$404.07","$994.27","$1783.56","$1024.24"
"81626","$404.07","$994.27","$1783.56","$1876.65"
"81806","$404.07","$1156.80","$1983.31","$1514.36"
"81806","$404.07","$1156.80","$1983.31","$1514.36"
"81806","$404.07","$1156.80","$1983.31","$1514.36"
"82645","$449.53","$1111.35","$1983.31","$1514.36"
"82645","$449.53","$1111.35","$1983.31","$1514.36"
"82836","$449.53","$1111.35","$1983.31","$1514.36"
"82837","$449.53","$1111.35","$1983.31","$1514.36"
"83166","$449.53","$1111.35","$1983.31","$1514.36"
"83638","$449.53","$1294.20","$2176.28","$1138.55"
"83639","$449.53","$1294.20","$2176.28","$1138.55"
"83641","$449.53","$1294.20","$2176.28","$1138.55"
"84998","$449.53","$1294.20","$2176.28","$2151.33"
"85163","$449.53","$1294.20","$2595.35","$1732.26"
"85164","$449.53","$1294.20","$2595.35","$1732.26"
"85687","$503.64","$1439.10","$2396.34","$1732.26"
"85688","$503.64","$1439.10","$2396.34","$1732.26"
"85688","$503.64","$1439.10","$2396.34","$1732.26"
"85886","$503.64","$1439.10","$2396.34","$1732.26"
"85887","$503.64","$1439.10","$2396.34","$1732.26"
"86532","$503.64","$1439.10","$2396.34","$1732.26"
"87525","$503.64","$1439.10","$2993.68","$2354.93"
"87525","$503.64","$1439.10","$2993.68","$2354.93"
"88744","$563.36","$1637.35","$2735.71","$2354.93"
"88745","$563.36","$1637.35","$2735.71","$2354.93"
"88745","$563.36","$1637.35","$2735.71","$2354.93"
"88938","$563.36","$1637.35","$2735.71","$2354.93"
"88950","$563.36","$1637.35","$2735.71","$2354.93"
"89062","$563.36","$1637.35","$2735.71","$2354.93"
"91031","$563.36","$1637.35","$3768.08","$2569.79"
"91031","$563.36","$1637.35","$3768.08","$2569.79"
"91801","$563.36","$2032.04","$3373.39","$2569.79"
"91806","$631.94","$1963.46","$3373.39","$2569.79"
"91802","$631.94","$1963.46","$3373.39","$2569.79"
"92001","$631.94","$1963.46","$3373.39","$2569.79"
"92011","$631.94","$1963.46","$3373.39","$2569.79"
"92781","$631.94","$1963.46","$3373.39","$2569.79"
"93838","$631.94","$1963.46","$3373.39","$5231.88"
"93843","$707.76","$1887.64","$3373.39","$5231.88"
"94097","$707.76","$1887.64","$5073.44","$3531.83"
"94102","$707.76","$2599.42","$4361.66","$3531.83"
"94098","$707.76","$2599.42","$4361.66","$3531.83"
"95055","$707.76","$2599.42","$4361.66","$3531.83"
"95059","$707.76","$2599.42","$4361.66","$3531.83"
"95370","$808.13","$2499.04","$4361.66","$3531.83"
"95371","$808.13","$2499.04","$4361.66","$3531.83"
"95934","$808.13","$3219.36","$3641.34","$3531.83"
"95934","$808.13","$3219.36","$3641.34","$3531.83"
"96152","$808.13","$3219.36","$5349.56","$1823.61"
"96152","$808.13","$3219.36","$5349.56","$1823.61"
"96903","$973.80","$3053.70","$5349.56","$6729.34"
"96904","$973.80","$3053.70","$5349.56","$6729.34"
"97475","$973.80","$4165.24","$4238.02","$6729.34"
"97477","$973.80","$4165.24","$4238.02","$6729.34"
"98125","$973.80","$4165.24","$4238.02","$6729.34"
"98126","$973.80","$4165.24","$4238.02","$6729.34"
"98189","$973.80","$4165.24","$6511.46","$5975.52"
"98190","$973.80","$4165.24","$6511.46","$5975.52"
"98443","$1293.11","$3845.93","$6511.46","$5975.52"
"98444","$1293.11","$3845.93","$6511.46","$5975.52"
"98782","$1293.11","$5002.13","$5355.25","$5975.52"
"98782","$1293.11","$5002.13","$5355.25","$5975.52"
"99964","$1796.18","$4499.06","$5355.25","$5975.52"
"99964","$1796.18","$4499.06","$5355.25","$5975.52"
"100094","$1796.18","$5805.10","$4049.22","$5975.52"
"100094","$1796.18","$5805.10","$4049.22","$5975.52"
"100232","$1796.18","$5805.10","$4049.22","$5975.52"
"100233","$1796.18","$5805.10","$6673.92","$3350.82"
"101181","$1796.18","$5805.10","$6673.92","$3350.82"
"101182","$1796.18","$5805.10","$6673.92","$3350.82"
"101414","$1796.18","$5805.10","$6673.92","$9973.24"
"101504","$2283.64","$6969.49","$5022.07","$9973.24"
"101505","$2283.64","$6969.49","$5022.07","$9973.24"
"101505","$2283.64","$6969.49","$5022.07","$9973.24"
"101984","$2283.64","$6969.49","$7701.48","$9290.50"
"101985","$2283.64","$6969.49","$7701.48","$9290.50"
"102823","$2283.64","$6969.49","$7701.48","$9290.50"
"103036","$2283.64","$8765.22","$5905.75","$9290.50"
"103036","$2283.64","$8765.22","$5905.75","$9290.50"
"103511","$2283.64","$8765.22","$5905.75","$9290.50"
"103515","$2283.64","$8765.22","$8962.52","$6233.73"
"104230","$2922.65","$8126.20","$8962.52","$6233.73"
"104230","$2922.65","$8126.20","$8962.52","$6233.73"
"104230","$2922.65","$8126.20","$8962.52","$6233.73"
"104347","$2922.65","$8126.20","$8962.52","$6233.73"
"104881","$2922.65","$8126.20","$8962.52","$6233.73"
"104884","$2922.65","$8126.20","$12764.74","$2431.51"
"106109","$2922.65","$8126.20","$16885.35","$9572.24"
"106109","$2922.65","$8126.20","$16885.35","$9572.24"
"106257","$2922.65","$11145.82","$13865.73","$9572.24"
"106258","$2922.65","$11145.82","$13865.73","$9572.24"
"107269","$3661.30","$10407.17","$13865.73","$9572.24"
"107273","$3661.30","$10407.17","$13865.73","$9572.24"
"107269","$3661.30","$10407.17","$13865.73","$9572.24"
"107342","$3661.30","$10407.17","$13865.73","$9572.24"
"107790","$3661.30","$10407.17","$22057.38","$1380.59"
"107790","$3661.30","$10407.17","$22057.38","$1380.59"
"108815","$3661.30","$10407.17","$22057.38","$15638.00"
"108818","$3661.30","$10407.17","$22057.38","$15638.00"
"109019","$3661.30","$10407.17","$22057.38","$15638.00"
"109837","$3661.30","$10407.17","$22057.38","$15638.00"
"109840","$3661.30","$10407.17","$22057.38","$15638.00"
"110340","$4601.60","$12754.22","$18770.04","$15638.00"
"110341","$4601.60","$12754.22","$18770.04","$15638.00"
"110341","$4601.60","$12754.22","$18770.04","$15638.00"
"110606","$4601.60","$12754.22","$18770.04","$15638.00"
"110606","$4601.60","$12754.22","$18770.04","$15638.00"
"111366","$4601.60","$12754.22","$18770.04","$32326.88"
"111366","$4601.60","$12754.22","$18770.04","$32326.88"
"111865","$4601.60","$12754.22","$36347.89","$14749.03"
"111865","$4601.60","$12754.22","$36347.89","$14749.03"
"112135","$4601.60","$12754.22","$36347.89","$14749.03"
"112136","$4601.60","$12754.22","$36347.89","$14749.03"
"112371","$4601.60","$17260.93","$31841.18","$14749.03"
"112373","$5544.05","$16318.48","$31841.18","$14749.03"
"112372","$5544.05","$16318.48","$31841.18","$14749.03"
"113162","$5544.05","$16318.48","$31841.18","$14749.03"
"113162","$5544.05","$16318.48","$31841.18","$14749.03"
"113229","$5544.05","$16318.48","$31841.18","$51067.01"
"113897","$5544.05","$16318.48","$31841.18","$51067.01"
"113899","$6492.65","$15369.88","$31841.18","$51067.01"
"114200","$6492.65","$26691.19","$45039.16","$26547.72"
"114202","$6492.65","$26691.19","$45039.16","$26547.72"
"114201","$6492.65","$26691.19","$45039.16","$26547.72"
"114686","$6492.65","$26691.19","$45039.16","$26547.72"
"114687","$6492.65","$26691.19","$45039.16","$26547.72"
"115117","$8247.15","$24936.69","$45039.16","$26547.72"
"115118","$8247.15","$24936.69","$45039.16","$26547.72"
"115733","$8247.15","$24936.69","$45039.16","$26547.72"
"115737","$8247.15","$36254.29","$33721.56","$26547.72"
"115741","$8247.15","$36254.29","$33721.56","$26547.72"
"115746","$8247.15","$36254.29","$61177.73","-$908.45"
"116343","$10024.76","$34476.67","$61177.73","$62823.15"
"116344","$10024.76","$34476.67","$61177.73","$62823.15"
"117044","$10024.76","$51688.30","$43966.10","$62823.15"
"117045","$10024.76","$51688.30","$43966.10","$62823.15"
"117104","$10024.76","$51688.30","$78788.35","$87473.40"
"117106","$10024.76","$51688.30","$78788.35","$87473.40"
"117572","$11803.53","$49909.53","$78788.35","$87473.40"
"117571","$11803.53","$49909.53","$78788.35","$87473.40"
"117743","$11803.53","$49909.53","$78788.35","$87473.40"
"117744","$11803.53","$49909.53","$78788.35","$87473.40"
"118337","$11803.53","$49909.53","$78788.35","$94204.59"
"118357","$11803.53","$67100.30","$105633.84","$63630.69"
"118357","$11803.53","$67100.30","$105633.84","$63630.69"
"118358","$11803.53","$67100.30","$105633.84","$63630.69"
"118793","$16969.40","$61934.43","$105633.84","$63630.69"
"118794","$16969.40","$61934.43","$105633.84","$63630.69"
"119477","$16969.40","$61934.43","$105633.84","$63630.69"
"119670","$16969.40","$81061.57","$130540.87","$19596.53"
"119670","$16969.40","$81061.57","$130540.87","$19596.53"
"119670","$16969.40","$81061.57","$130540.87","$19596.53"
"120016","$24602.81","$73428.15","$130540.87","$19596.53"
"120016","$24602.81","$73428.15","$130540.87","$19596.53"
"120698","$24602.81","$73428.15","$130540.87","$19596.53"
"120789","$24602.81","$73428.15","$130540.87","$19596.53"
"120789","$24602.81","$73428.15","$130540.87","$19596.53"
"120987","$24602.81","$96125.88","$153989.64","-$26549.97"
"120988","$24602.81","$96125.88","$153989.64","-$26549.97"
"120988","$24602.81","$96125.88","$153989.64","-$26549.97"
"121236","$33211.32","$87517.37","$153989.64","-$26549.97"
"121236","$33211.32","$87517.37","$153989.64","-$26549.97"
