"Time","MEDICINE","WINE","FERTILIZER","IRON","PIG_IRON","STEEL","TOOLS"
"15","NaN","NaN","NaN","$1.20","$1.20","$1.20","NaN"
"22","NaN","NaN","NaN","$1.20","$1.20","$1.20","NaN"
"18","NaN","NaN","NaN","$1.20","$1.20","$1.20","NaN"
"17","NaN","NaN","NaN","$1.20","$1.20","$1.20","NaN"
"1626","NaN","NaN","NaN","$1.20","$1.20","$1.20","NaN"
"1626","NaN","NaN","NaN","$1.20","$1.20","$1.20","NaN"
"3153","NaN","NaN","NaN","$1.20","$1.20","$1.20","$1.20"
"3153","NaN","NaN","NaN","$1.20","$1.20","$1.20","$1.20"
"3274","NaN","NaN","NaN","$0.14","$1.20","$1.20","$1.20"
"3275","NaN","NaN","NaN","$0.14","$1.20","$1.20","$1.20"
"4695","NaN","NaN","NaN","$0.14","$1.20","$1.20","$1.20"
"4696","NaN","NaN","NaN","$0.14","$1.20","$1.20","$1.20"
"4725","NaN","NaN","NaN","$0.14","$1.59","$1.20","$1.20"
"4725","NaN","NaN","NaN","$0.14","$1.59","$1.20","$1.20"
"6222","NaN","NaN","NaN","$0.14","$1.59","$1.73","$1.89"
"6222","NaN","NaN","NaN","$0.14","$1.59","$1.73","$1.89"
"6255","NaN","NaN","NaN","$0.14","$1.59","$1.73","$1.89"
"6256","NaN","NaN","NaN","$0.14","$1.59","$1.73","$1.89"
"6360","NaN","NaN","NaN","$0.15","$1.59","$1.73","$1.89"
"6364","NaN","NaN","NaN","$0.15","$1.59","$1.73","$1.89"
"7806","NaN","NaN","NaN","$0.15","$1.59","$1.73","$1.89"
"7807","NaN","NaN","NaN","$0.15","$1.59","$1.73","$1.89"
"9329","NaN","NaN","NaN","$0.15","$0.63","$1.73","$1.89"
"9330","NaN","NaN","NaN","$0.15","$0.63","$1.73","$1.89"
"9364","NaN","NaN","NaN","$0.15","$0.63","$1.73","$1.89"
"9365","NaN","NaN","NaN","$0.15","$0.63","$1.73","$1.89"
"9435","NaN","NaN","NaN","$0.16","$0.63","$1.73","$1.89"
"9438","NaN","NaN","NaN","$0.16","$0.63","$1.73","$1.89"
"12360","NaN","NaN","NaN","$0.16","$0.63","$2.40","$2.79"
"12360","NaN","NaN","NaN","$0.16","$0.63","$2.40","$2.79"
"12496","NaN","NaN","NaN","$0.25","$0.63","$2.40","$2.79"
"12496","NaN","NaN","NaN","$0.25","$0.63","$2.40","$2.79"
"12498","NaN","NaN","NaN","$0.25","$0.63","$2.40","$2.79"
"12499","NaN","NaN","NaN","$0.25","$0.63","$2.40","$2.79"
"13925","NaN","NaN","NaN","$0.25","$0.65","$2.40","$2.79"
"13926","NaN","NaN","NaN","$0.25","$0.65","$2.40","$2.79"
"15543","NaN","NaN","NaN","$0.25","$0.65","$2.40","$2.79"
"15543","NaN","NaN","NaN","$0.25","$0.65","$2.40","$2.79"
"15553","NaN","NaN","NaN","$0.25","$0.65","$2.40","$2.79"
"15553","NaN","NaN","NaN","$0.25","$0.65","$2.40","$2.79"
"18479","NaN","NaN","NaN","$0.25","$0.65","$1.74","$3.95"
"18479","NaN","NaN","NaN","$0.25","$0.65","$1.74","$3.95"
"18509","NaN","NaN","NaN","$0.25","$0.88","$1.74","$3.95"
"18512","NaN","NaN","NaN","$0.25","$0.88","$1.74","$3.95"
"18590","NaN","NaN","NaN","$0.25","$0.88","$1.74","$3.95"
"18591","NaN","NaN","NaN","$0.25","$0.88","$1.74","$3.95"
