"Time","Thread-0","Thread-1","Thread-2","Thread-3"
"122","$88.00","$88.00","$88.00","$88.00"
"128","$88.00","$88.00","$88.00","$88.00"
"123","$88.00","$88.00","$88.00","$88.00"
"125","$88.00","$88.00","$88.00","$88.00"
"1904","$88.00","$88.00","$88.00","$88.00"
"3417","$100.60","$75.40","$88.00","$88.00"
"3420","$100.60","$75.40","$88.00","$88.00"
"4954","$100.60","$88.00","$75.40","$88.00"
"4955","$100.60","$88.00","$75.40","$88.00"
"6490","$100.60","$88.00","$75.40","$88.00"
"6529","$100.60","$88.00","$88.00","$75.40"
"6543","$88.00","$88.00","$88.00","$88.00"
"6473","$88.00","$88.00","$88.00","$88.00"
"9601","$88.00","$101.23","$74.77","$88.00"
"9606","$88.00","$101.23","$74.77","$88.00"
"9628","$101.23","$88.00","$74.77","$88.00"
"9630","$101.23","$88.00","$74.77","$88.00"
"10630","$93.29","$88.00","$88.00","$82.71"
"10631","$88.00","$88.00","$88.00","$88.00"
"10634","$88.00","$88.00","$88.00","$88.00"
"13686","$88.00","$88.00","$88.00","$88.00"
"13689","$74.11","$88.00","$88.00","$101.89"
"13686","$74.11","$88.00","$88.00","$101.89"
"14207","$74.11","$88.00","$101.89","$88.00"
"14208","$74.11","$88.00","$101.89","$88.00"
"15216","$74.11","$88.00","$101.89","$88.00"
"15724","$88.00","$88.00","$88.00","$88.00"
"15725","$88.00","$88.00","$88.00","$88.00"
"15725","$88.00","$88.00","$88.00","$88.00"
"17270","$73.41","$88.00","$88.00","$102.59"
"17271","$73.41","$88.00","$88.00","$102.59"
"18812","$73.41","$88.00","$88.00","$102.59"
"21818","$73.41","$88.00","$88.00","$102.59"
"21827","$88.00","$73.41","$88.00","$102.59"
"24869","$88.00","$73.41","$88.00","$102.59"
"24874","$103.32","$58.10","$88.00","$102.59"
"24893","$103.32","$72.68","$88.00","$88.00"
"24894","$103.32","$72.68","$88.00","$88.00"
"24894","$103.32","$72.68","$88.00","$88.00"
"26920","$103.32","$72.68","$88.00","$88.00"
"27955","$88.00","$72.68","$88.00","$103.32"
"27956","$88.00","$72.68","$88.00","$103.32"
"29477","$104.08","$56.60","$88.00","$103.32"
"29482","$104.08","$56.60","$88.00","$103.32"
"32528","$104.08","$56.60","$88.00","$103.32"
"34026","$104.08","$71.92","$88.00","$88.00"
"34026","$104.08","$71.92","$88.00","$88.00"
"34027","$104.08","$71.92","$88.00","$88.00"
"37081","$88.00","$71.92","$88.00","$104.08"
"37083","$88.00","$71.92","$88.00","$104.08"
"38599","$88.00","$71.92","$104.08","$88.00"
"38604","$88.00","$88.00","$88.00","$88.00"
"38600","$88.00","$88.00","$88.00","$88.00"
"40134","$104.89","$71.11","$88.00","$88.00"
"40135","$104.89","$71.11","$88.00","$88.00"
"41660","$104.89","$71.11","$88.00","$88.00"
"41669","$104.89","$88.00","$71.11","$88.00"
"41679","$88.00","$88.00","$88.00","$88.00"
"41680","$88.00","$88.00","$88.00","$88.00"
"41680","$88.00","$88.00","$88.00","$88.00"
"43962","$88.00","$88.00","$88.00","$88.00"
"44138","$88.00","$88.00","$88.00","$88.00"
"44140","$88.00","$88.00","$105.73","$70.27"
"44740","$70.27","$88.00","$105.73","$88.00"
"44741","$70.27","$88.00","$105.73","$88.00"
"46173","$70.27","$88.00","$105.73","$88.00"
"46229","$88.00","$88.00","$88.00","$88.00"
"46231","$88.00","$88.00","$88.00","$88.00"
"46231","$88.00","$88.00","$88.00","$88.00"
"46265","$69.38","$88.00","$88.00","$106.62"
"46268","$69.38","$88.00","$88.00","$106.62"
"47280","$69.38","$88.00","$88.00","$106.62"
"48511","$69.38","$88.00","$106.62","$88.00"
"48512","$69.38","$88.00","$106.62","$88.00"
"50565","$49.84","$88.00","$106.62","$107.55"
"50566","$49.84","$88.00","$106.62","$107.55"
"51600","$49.84","$88.00","$106.62","$107.55"
"52313","$49.84","$106.62","$88.00","$107.55"
"52315","$68.45","$88.00","$88.00","$107.55"
"52313","$68.45","$88.00","$88.00","$107.55"
"55357","$88.00","$68.45","$88.00","$107.55"
"55357","$88.00","$68.45","$88.00","$107.55"
"55356","$88.00","$68.45","$88.00","$107.55"
"55365","$88.00","$88.00","$88.00","$88.00"
"55372","$88.00","$88.00","$88.00","$88.00"
"57424","$108.52","$67.48","$88.00","$88.00"
"57424","$108.52","$67.48","$88.00","$88.00"
"57695","$108.52","$67.48","$88.00","$88.00"
"57705","$108.52","$88.00","$67.48","$88.00"
"57839","$88.00","$88.00","$88.00","$88.00"
"57843","$88.00","$88.00","$88.00","$88.00"
"57840","$88.00","$88.00","$88.00","$88.00"
"58869","$88.00","$88.00","$88.00","$88.00"
"58959","$109.55","$66.45","$88.00","$88.00"
"58959","$109.55","$66.45","$88.00","$88.00"
"59536","$109.55","$66.45","$88.00","$88.00"
"59541","$109.55","$88.00","$66.45","$88.00"
"59878","$88.00","$88.00","$88.00","$88.00"
"59880","$88.00","$88.00","$88.00","$88.00"
"59880","$88.00","$88.00","$88.00","$88.00"
"60501","$88.00","$88.00","$88.00","$88.00"
"61070","$88.00","$110.63","$65.37","$88.00"
"61070","$88.00","$110.63","$65.37","$88.00"
"61400","$110.63","$88.00","$65.37","$88.00"
"61401","$110.63","$88.00","$65.37","$88.00"
"61632","$88.00","$88.00","$88.00","$88.00"
"61633","$88.00","$88.00","$88.00","$88.00"
"61634","$88.00","$88.00","$88.00","$88.00"
"62596","$88.00","$88.00","$88.00","$88.00"
"63156","$88.00","$88.00","$88.00","$88.00"
"63161","$88.00","$88.00","$111.76","$64.24"
"63167","$64.24","$88.00","$111.76","$88.00"
"63169","$64.24","$88.00","$111.76","$88.00"
"63439","$88.00","$88.00","$88.00","$88.00"
"63441","$88.00","$88.00","$88.00","$88.00"
"63440","$88.00","$88.00","$88.00","$88.00"
"64184","$88.00","$88.00","$88.00","$88.00"
"64521","$63.05","$88.00","$88.00","$112.95"
"64522","$63.05","$88.00","$88.00","$112.95"
"64969","$88.00","$63.05","$88.00","$112.95"
"64973","$88.00","$63.05","$88.00","$112.95"
"65263","$88.00","$88.00","$88.00","$88.00"
"65264","$88.00","$88.00","$88.00","$88.00"
"65265","$88.00","$88.00","$88.00","$88.00"
"65537","$88.00","$88.00","$88.00","$88.00"
"66192","$114.19","$61.81","$88.00","$88.00"
"66193","$114.19","$61.81","$88.00","$88.00"
"66797","$88.00","$61.81","$88.00","$114.19"
"66798","$88.00","$61.81","$88.00","$114.19"
"67097","$88.00","$61.81","$114.19","$88.00"
"67102","$88.00","$88.00","$88.00","$88.00"
"67098","$88.00","$88.00","$88.00","$88.00"
"67411","$88.00","$88.00","$88.00","$88.00"
"68322","$115.50","$60.50","$88.00","$88.00"
"68323","$115.50","$60.50","$88.00","$88.00"
"68625","$115.50","$88.00","$60.50","$88.00"
"68626","$115.50","$88.00","$60.50","$88.00"
"68630","$88.00","$88.00","$88.00","$88.00"
"68631","$88.00","$88.00","$88.00","$88.00"
"68630","$88.00","$88.00","$88.00","$88.00"
"69650","$88.00","$88.00","$88.00","$88.00"
"69846","$116.88","$59.12","$88.00","$88.00"
"69848","$116.88","$59.12","$88.00","$88.00"
"69991","$88.00","$59.12","$88.00","$116.88"
"69992","$88.00","$59.12","$88.00","$116.88"
"70151","$88.00","$88.00","$88.00","$88.00"
"70152","$88.00","$88.00","$88.00","$88.00"
"70153","$88.00","$88.00","$88.00","$88.00"
"70754","$88.00","$88.00","$88.00","$88.00"
"71371","$118.32","$57.68","$88.00","$88.00"
"71371","$118.32","$57.68","$88.00","$88.00"
"71387","$88.00","$57.68","$88.00","$118.32"
"71388","$88.00","$57.68","$88.00","$118.32"
"71689","$88.00","$88.00","$88.00","$88.00"
"71690","$88.00","$88.00","$88.00","$88.00"
"71690","$88.00","$88.00","$88.00","$88.00"
"72404","$88.00","$88.00","$88.00","$88.00"
"72809","$88.00","$88.00","$88.00","$88.00"
"72815","$56.16","$88.00","$88.00","$119.84"
"72905","$88.00","$56.16","$88.00","$119.84"
"72906","$88.00","$56.16","$88.00","$119.84"
"73008","$88.00","$88.00","$88.00","$88.00"
"73009","$88.00","$88.00","$88.00","$88.00"
"73010","$88.00","$88.00","$88.00","$88.00"
"73861","$88.00","$88.00","$88.00","$88.00"
"74034","$54.57","$88.00","$88.00","$121.43"
"74035","$54.57","$88.00","$88.00","$121.43"
"74316","$54.57","$88.00","$121.43","$88.00"
"74317","$54.57","$88.00","$121.43","$88.00"
"74440","$88.00","$88.00","$88.00","$88.00"
"74441","$88.00","$88.00","$88.00","$88.00"
"74440","$88.00","$88.00","$88.00","$88.00"
"75055","$88.00","$88.00","$88.00","$88.00"
"75340","$52.90","$88.00","$88.00","$123.10"
"75343","$52.90","$88.00","$88.00","$123.10"
"75752","$52.90","$88.00","$123.10","$88.00"
"75753","$52.90","$88.00","$123.10","$88.00"
"75968","$88.00","$88.00","$88.00","$88.00"
"75969","$88.00","$88.00","$88.00","$88.00"
"75969","$88.00","$88.00","$88.00","$88.00"
"76360","$88.00","$88.00","$88.00","$88.00"
"76769","$51.14","$88.00","$88.00","$124.86"
"76770","$51.14","$88.00","$88.00","$124.86"
"77289","$51.14","$88.00","$124.86","$88.00"
"77294","$51.14","$88.00","$124.86","$88.00"
"77499","$88.00","$88.00","$88.00","$88.00"
"77500","$88.00","$88.00","$88.00","$88.00"
"77500","$88.00","$88.00","$88.00","$88.00"
"77794","$88.00","$88.00","$88.00","$88.00"
"78411","$49.30","$88.00","$88.00","$126.70"
"78412","$49.30","$88.00","$88.00","$126.70"
"78651","$49.30","$88.00","$126.70","$88.00"
"78651","$49.30","$88.00","$126.70","$88.00"
"79031","$88.00","$88.00","$88.00","$88.00"
"79032","$88.00","$88.00","$88.00","$88.00"
"79032","$88.00","$88.00","$88.00","$88.00"
"79765","$88.00","$88.00","$88.00","$88.00"
