"Time","MEDICINE","WINE","FERTILIZER","IRON","PIG_IRON","STEEL","TOOLS"
"122","NaN","NaN","NaN","$1.20","$1.20","$1.20","$1.20"
"128","NaN","NaN","NaN","$1.20","$1.20","$1.20","$1.20"
"123","NaN","NaN","NaN","$1.20","$1.20","$1.20","$1.20"
"125","NaN","NaN","NaN","$1.20","$1.20","$1.20","$1.20"
"1904","NaN","NaN","NaN","$1.20","$1.20","$1.20","$1.20"
"3417","NaN","NaN","NaN","$1.26","$1.20","$1.20","$1.20"
"3420","NaN","NaN","NaN","$1.26","$1.20","$1.20","$1.20"
"4954","NaN","NaN","NaN","$1.26","$1.26","$1.20","$1.20"
"4955","NaN","NaN","NaN","$1.26","$1.26","$1.20","$1.20"
"6490","NaN","NaN","NaN","$1.26","$1.26","$1.20","$1.20"
"6529","NaN","NaN","NaN","$1.26","$1.26","$1.26","$1.20"
"6543","NaN","NaN","NaN","$1.26","$1.26","$1.26","$1.26"
"6473","NaN","NaN","NaN","$1.26","$1.26","$1.26","$1.26"
"9601","NaN","NaN","NaN","$1.26","$1.32","$1.26","$1.26"
"9606","NaN","NaN","NaN","$1.26","$1.32","$1.26","$1.26"
"9628","NaN","NaN","NaN","$1.32","$1.32","$1.26","$1.26"
"9630","NaN","NaN","NaN","$1.32","$1.32","$1.26","$1.26"
"10630","NaN","NaN","NaN","$1.32","$1.32","$1.32","$1.32"
"10631","NaN","NaN","NaN","$1.32","$1.32","$1.32","$1.32"
"10634","NaN","NaN","NaN","$1.32","$1.32","$1.32","$1.32"
"13686","NaN","NaN","NaN","$1.32","$1.32","$1.32","$1.32"
"13689","NaN","NaN","NaN","$1.32","$1.32","$1.32","$1.39"
"13686","NaN","NaN","NaN","$1.32","$1.32","$1.32","$1.39"
"14207","NaN","NaN","NaN","$1.32","$1.32","$1.39","$1.39"
"14208","NaN","NaN","NaN","$1.32","$1.32","$1.39","$1.39"
"15216","NaN","NaN","NaN","$1.32","$1.32","$1.39","$1.39"
"15724","NaN","NaN","NaN","$1.39","$1.39","$1.39","$1.39"
"15725","NaN","NaN","NaN","$1.39","$1.39","$1.39","$1.39"
"15725","NaN","NaN","NaN","$1.39","$1.39","$1.39","$1.39"
"17270","NaN","NaN","NaN","$1.39","$1.39","$1.39","$1.46"
"17271","NaN","NaN","NaN","$1.39","$1.39","$1.39","$1.46"
"18812","NaN","NaN","NaN","$1.39","$1.39","$1.39","$1.46"
"21818","NaN","NaN","NaN","$1.39","$1.39","$1.39","$1.46"
"21827","NaN","NaN","NaN","$1.46","$1.39","$1.39","$1.46"
"24869","NaN","NaN","NaN","$1.46","$1.39","$1.39","$1.46"
"24874","NaN","NaN","NaN","$1.53","$1.39","$1.39","$1.46"
"24893","NaN","NaN","NaN","$1.53","$1.46","$1.46","$1.46"
"24894","NaN","NaN","NaN","$1.53","$1.46","$1.46","$1.46"
"24894","NaN","NaN","NaN","$1.53","$1.46","$1.46","$1.46"
"26920","NaN","NaN","NaN","$1.53","$1.46","$1.46","$1.46"
"27955","NaN","NaN","NaN","$1.53","$1.46","$1.46","$1.53"
"27956","NaN","NaN","NaN","$1.53","$1.46","$1.46","$1.53"
"29477","NaN","NaN","NaN","$1.61","$1.46","$1.46","$1.53"
"29482","NaN","NaN","NaN","$1.61","$1.46","$1.46","$1.53"
"32528","NaN","NaN","NaN","$1.61","$1.46","$1.46","$1.53"
"34026","NaN","NaN","NaN","$1.61","$1.53","$1.53","$1.53"
"34026","NaN","NaN","NaN","$1.61","$1.53","$1.53","$1.53"
"34027","NaN","NaN","NaN","$1.61","$1.53","$1.53","$1.53"
"37081","NaN","NaN","NaN","$1.61","$1.53","$1.53","$1.61"
"37083","NaN","NaN","NaN","$1.61","$1.53","$1.53","$1.61"
"38599","NaN","NaN","NaN","$1.61","$1.53","$1.61","$1.61"
"38604","NaN","NaN","NaN","$1.61","$1.61","$1.61","$1.61"
"38600","NaN","NaN","NaN","$1.61","$1.61","$1.61","$1.61"
"40134","NaN","NaN","NaN","$1.69","$1.61","$1.61","$1.61"
"40135","NaN","NaN","NaN","$1.69","$1.61","$1.61","$1.61"
"41660","NaN","NaN","NaN","$1.69","$1.61","$1.61","$1.61"
"41669","NaN","NaN","NaN","$1.69","$1.69","$1.61","$1.61"
"41679","NaN","NaN","NaN","$1.69","$1.69","$1.69","$1.69"
"41680","NaN","NaN","NaN","$1.69","$1.69","$1.69","$1.69"
"41680","NaN","NaN","NaN","$1.69","$1.69","$1.69","$1.69"
"43962","NaN","NaN","NaN","$1.69","$1.69","$1.69","$1.69"
"44138","NaN","NaN","NaN","$1.69","$1.69","$1.69","$1.69"
"44140","NaN","NaN","NaN","$1.69","$1.69","$1.77","$1.69"
"44740","NaN","NaN","NaN","$1.69","$1.69","$1.77","$1.77"
"44741","NaN","NaN","NaN","$1.69","$1.69","$1.77","$1.77"
"46173","NaN","NaN","NaN","$1.69","$1.69","$1.77","$1.77"
"46229","NaN","NaN","NaN","$1.77","$1.77","$1.77","$1.77"
"46231","NaN","NaN","NaN","$1.77","$1.77","$1.77","$1.77"
"46231","NaN","NaN","NaN","$1.77","$1.77","$1.77","$1.77"
"46265","NaN","NaN","NaN","$1.77","$1.77","$1.77","$1.77"
"46268","NaN","NaN","NaN","$1.77","$1.77","$1.77","$1.86"
"47280","NaN","NaN","NaN","$1.77","$1.77","$1.77","$1.86"
"48511","NaN","NaN","NaN","$1.77","$1.77","$1.86","$1.86"
"48512","NaN","NaN","NaN","$1.77","$1.77","$1.86","$1.86"
"50565","NaN","NaN","NaN","$1.77","$1.77","$1.86","$1.95"
"50566","NaN","NaN","NaN","$1.77","$1.77","$1.86","$1.95"
"51600","NaN","NaN","NaN","$1.77","$1.77","$1.86","$1.95"
"52313","NaN","NaN","NaN","$1.77","$1.86","$1.86","$1.95"
"52315","NaN","NaN","NaN","$1.86","$1.86","$1.86","$1.95"
"52313","NaN","NaN","NaN","$1.86","$1.86","$1.86","$1.95"
"55357","NaN","NaN","NaN","$1.95","$1.86","$1.86","$1.95"
"55357","NaN","NaN","NaN","$1.95","$1.86","$1.86","$1.95"
