"Time","MEDICINE","WINE","FERTILIZER","IRON","PIG_IRON","STEEL","TOOLS"
"60","-1.0","-1.0","-1.0","0.0","0.0","0.0","-1.0"
"63","-1.0","-1.0","-1.0","0.0","0.0","0.0","-1.0"
"62","-1.0","-1.0","-1.0","0.0","0.0","0.0","-1.0"
"62","-1.0","-1.0","-1.0","0.0","0.0","0.0","-1.0"
"1631","-1.0","-1.0","-1.0","0.0","0.0","0.0","-1.0"
"1632","-1.0","-1.0","-1.0","0.0","0.0","0.0","-1.0"
"3167","-1.0","-1.0","-1.0","0.0","0.0","0.0","0.0"
"3167","-1.0","-1.0","-1.0","0.0","0.0","0.0","0.0"
"3173","-1.0","-1.0","-1.0","0.0","0.0","0.0","0.0"
"3174","-1.0","-1.0","-1.0","0.0","0.0","0.0","0.0"
"4682","-1.0","-1.0","-1.0","0.0","0.0","0.0","0.0"
"4682","-1.0","-1.0","-1.0","0.0","0.0","0.0","0.0"
"4708","-1.0","-1.0","-1.0","0.0","0.0","0.0","0.0"
"4712","-1.0","-1.0","-1.0","0.0","0.0","0.0","0.0"
"6216","-1.0","-1.0","-1.0","0.0","0.0","0.0","80.24759100000001"
"6216","-1.0","-1.0","-1.0","0.0","0.0","0.0","80.24759100000001"
"6238","-1.0","-1.0","-1.0","0.0","0.0","0.0","80.24759100000001"
"6239","-1.0","-1.0","-1.0","0.0","0.0","0.0","80.24759100000001"
"6261","-1.0","-1.0","-1.0","0.0","0.0","0.0","80.24759100000001"
"6261","-1.0","-1.0","-1.0","0.0","0.0","0.0","80.24759100000001"
"7793","-1.0","-1.0","-1.0","0.0","0.0","0.0","80.24759100000001"
"7793","-1.0","-1.0","-1.0","0.0","0.0","0.0","80.24759100000001"
"9291","-1.0","-1.0","-1.0","0.0","0.0","0.0","52.650444455100015"
"9291","-1.0","-1.0","-1.0","0.0","0.0","0.0","52.650444455100015"
"9311","-1.0","-1.0","-1.0","0.5904900000000002","0.0","0.0","52.650444455100015"
"9312","-1.0","-1.0","-1.0","0.5904900000000002","0.0","0.0","52.650444455100015"
