"Time","MEDICINE","WINE","FERTILIZER","IRON","PIG_IRON","STEEL","TOOLS"
"70","10","10","10","0","0","0","10"
"76","10","10","10","0","0","0","10"
"84","10","10","10","0","0","0","10"
"91","10","10","10","0","0","0","10"
"1633","10","10","10","10","0","0","10"
"1636","10","10","10","10","0","0","10"
"3168","10","10","10","0","10","0","2"
"3171","10","10","10","0","10","0","2"
"3175","10","10","10","10","10","0","2"
"3176","10","10","10","10","10","0","2"
"4682","10","10","10","10","0","10","2"
"4700","10","10","10","10","0","10","2"
"4713","10","10","10","20","0","10","2"
"4717","10","10","10","20","0","10","2"
"6228","10","10","10","20","0","0","4"
"6230","10","10","10","20","0","0","4"
"6239","10","10","10","10","10","0","4"
"6243","10","10","10","10","10","0","4"
"6264","10","10","10","20","10","0","4"
"6265","10","10","10","20","10","0","4"
"7794","10","10","10","30","10","0","4"
"7795","10","10","10","30","10","0","4"
"9292","10","10","10","30","0","10","0"
"9294","10","10","10","30","0","10","0"
"9312","10","10","10","20","10","10","0"
"9315","10","10","10","20","10","10","0"
"9326","10","10","10","30","10","10","0"
"9331","10","10","10","30","10","10","0"
"10853","10","10","10","40","10","10","0"
"10855","10","10","10","40","10","10","0"
"12347","10","10","10","40","10","0","5"
"12350","10","10","10","40","10","0","5"
"12378","10","10","10","30","20","0","5"
"12381","10","10","10","30","20","0","5"
"13881","10","10","10","30","10","10","5"
"13893","10","10","10","30","10","10","5"
"13920","10","10","10","40","10","10","5"
"13924","10","10","10","40","10","10","5"
"15437","10","10","10","35","20","10","0"
"15438","10","10","10","30","20","10","0"
"16422","10","10","10","30","20","10","9"
"16425","10","10","10","30","20","0","9"
"16976","10","10","10","40","20","0","6"
"16980","10","10","10","40","20","0","6"
"18479","10","10","10","40","10","10","6"
"18483","10","10","10","40","10","10","6"
"18509","10","10","10","38","20","10","6"
"18510","10","10","10","30","20","10","6"
"19498","10","10","10","30","20","10","7"
"19500","10","10","10","30","20","0","7"
"20032","10","10","10","40","20","0","7"
"20038","10","10","10","40","20","0","7"
"21557","10","10","10","35","30","0","7"
"21558","10","10","10","30","30","0","7"
"21946","10","10","10","30","30","0","17"
"23070","10","10","10","30","20","0","6"
"23074","10","10","10","30","20","0","6"
"23075","10","10","10","30","20","0","6"
"23103","10","10","10","40","20","0","6"
"23109","10","10","10","40","20","0","6"
"24614","10","10","10","35","30","0","6"
"24615","10","10","10","30","30","0","6"
"25519","10","10","10","30","30","0","5"
"26129","10","10","10","30","30","10","5"
"26130","10","10","10","30","20","10","5"
"26136","10","10","10","30","20","0","5"
"26165","10","10","10","40","20","0","5"
"26169","10","10","10","40","20","0","5"
"27670","10","10","10","30","30","0","5"
"27672","10","10","10","30","30","0","5"
"28436","10","10","10","30","20","10","5"
"28437","10","10","10","30","20","10","5"
"29203","10","10","10","30","20","0","9"
"29206","10","10","10","30","20","0","9"
"29242","10","10","10","40","20","0","3"
"29259","10","10","10","40","20","0","3"
"30277","10","10","10","40","10","10","3"
"30278","10","10","10","40","10","10","3"
"30722","10","10","10","30","20","10","3"
"30732","10","10","10","30","20","10","3"
"32122","10","10","10","30","10","20","3"
"32127","10","10","10","30","10","20","3"
"32272","10","10","10","30","10","20","9"
"32276","10","10","10","30","10","10","9"
"32302","10","10","10","40","10","10","0"
"32318","10","10","10","40","10","10","0"
"33784","10","10","10","30","20","10","0"
"33787","10","10","10","30","20","10","0"
"33957","10","10","10","30","10","20","0"
"33960","10","10","10","30","10","20","0"
"34723","10","10","10","30","10","10","10"
"34727","10","10","10","30","10","10","10"
"35374","10","10","10","40","10","10","0"
"35377","10","10","10","40","10","10","0"
"35829","10","10","10","40","5","20","0"
"35837","10","10","10","40","0","20","0"
"36851","10","10","10","34","10","20","0"
"36853","10","10","10","30","10","20","0"
"37184","10","10","10","30","10","10","7"
"37184","10","10","10","30","10","10","7"
"37660","10","10","10","30","0","20","7"
"37663","10","10","10","30","0","20","7"
"38418","10","10","10","40","0","20","7"
"38421","10","10","10","40","0","20","7"
"39215","10","10","10","40","0","20","17"
"39220","10","10","10","40","0","10","17"
"39497","10","10","10","40","0","20","17"
"39905","10","10","10","30","0","20","17"
"39905","10","10","10","30","0","20","17"
"39907","10","10","10","30","0","20","17"
"40977","10","10","10","30","0","10","12"
"40981","10","10","10","30","0","10","12"
"41477","10","10","10","40","0","10","12"
"41481","10","10","10","40","0","10","12"
"41733","10","10","10","40","0","20","12"
"42503","10","10","10","40","0","20","22"
"42507","10","10","10","40","0","10","22"
"42949","10","10","10","30","0","10","22"
"42950","10","10","10","30","0","10","22"
"42955","10","10","10","30","0","10","22"
"43862","10","10","10","30","0","0","16"
"43865","10","10","10","30","0","0","16"
"44529","10","10","10","40","0","0","16"
"44533","10","10","10","40","0","0","16"
"45224","10","10","10","40","0","0","26"
"45239","10","10","10","40","0","0","26"
"45244","10","10","10","40","0","0","26"
