"Time","Thread-0","Thread-1","Thread-2","Thread-3"
"60","$100.00","$88.00","$88.00","$88.00"
"63","$100.00","$88.00","$88.00","$88.00"
"62","$100.00","$88.00","$88.00","$88.00"
"62","$100.00","$88.00","$88.00","$88.00"
"1631","$100.00","$88.00","$88.00","$88.00"
"1632","$100.00","$88.00","$88.00","$88.00"
"3167","$101.32","$86.68","$88.00","$88.00"
"3167","$101.32","$86.68","$88.00","$88.00"
"3173","$101.32","$86.68","$88.00","$88.00"
"3174","$101.32","$86.68","$88.00","$88.00"
"4682","$101.32","$102.41","$72.27","$88.00"
"4682","$101.32","$102.41","$72.27","$88.00"
"4708","$101.32","$102.41","$72.27","$88.00"
"4712","$101.32","$102.41","$72.27","$88.00"
"6216","$101.32","$102.41","$89.53","$82.03"
"6216","$101.32","$102.41","$89.53","$82.03"
"6238","$102.87","$100.86","$89.53","$82.03"
"6239","$102.87","$100.86","$89.53","$82.03"
"6261","$102.87","$100.86","$89.53","$82.03"
"6261","$102.87","$100.86","$89.53","$82.03"
"7793","$102.87","$100.86","$89.53","$82.03"
"7793","$102.87","$100.86","$89.53","$82.03"
"9291","$102.87","$107.10","$83.29","$89.55"
"9291","$102.87","$107.10","$83.29","$89.55"
"9311","$104.42","$105.55","$83.29","$89.55"
"9312","$104.42","$105.55","$83.29","$89.55"
"9322","$104.42","$105.55","$83.29","$89.55"
"9326","$104.42","$105.55","$83.29","$89.55"
"10853","$104.42","$105.55","$83.29","$89.55"
"10853","$104.42","$105.55","$83.29","$89.55"
"12345","$104.42","$105.55","$107.09","$79.65"
"12346","$104.42","$105.55","$107.09","$79.65"
"12377","$106.83","$103.14","$107.09","$79.65"
"12377","$106.83","$103.14","$107.09","$79.65"
"13879","$106.83","$109.61","$100.61","$79.65"
"13880","$106.83","$109.61","$100.61","$79.65"
"13912","$106.83","$109.61","$100.61","$79.65"
"13919","$106.83","$109.61","$100.61","$79.65"
"15437","$109.25","$107.20","$100.61","$93.55"
"15437","$109.25","$107.20","$100.61","$93.55"
"16421","$109.25","$107.20","$100.61","$97.47"
"16425","$109.25","$107.20","$117.87","$80.21"
"16975","$109.25","$107.20","$117.87","$91.99"
"16975","$109.25","$107.20","$117.87","$91.99"
"18477","$109.25","$115.99","$109.08","$91.99"
"18478","$109.25","$115.99","$109.08","$91.99"
"18509","$111.67","$113.57","$109.08","$91.99"
"18509","$111.67","$113.57","$109.08","$91.99"
"19498","$111.67","$113.57","$109.08","$127.07"
"19499","$111.67","$113.57","$131.04","$105.11"
"20030","$111.67","$113.57","$131.04","$105.11"
"20031","$111.67","$113.57","$131.04","$105.11"
"21557","$114.11","$111.12","$131.04","$105.11"
"21557","$114.11","$111.12","$131.04","$105.11"
"21945","$114.11","$111.12","$131.04","$105.11"
"23070","$114.11","$120.80","$147.10","$123.36"
"23070","$114.11","$120.80","$147.10","$123.36"
"23070","$114.11","$120.80","$147.10","$123.36"
"23096","$114.11","$120.80","$147.10","$123.36"
"23103","$114.11","$120.80","$147.10","$123.36"
"24614","$117.68","$117.23","$147.10","$123.36"
"24614","$117.68","$117.23","$147.10","$123.36"
"25517","$117.68","$117.23","$147.10","$178.57"
"26128","$117.68","$117.23","$147.10","$178.57"
"26130","$117.68","$129.59","$134.73","$178.57"
"26135","$117.68","$129.59","$167.65","$145.65"
"26159","$117.68","$129.59","$167.65","$145.65"
"26164","$117.68","$129.59","$167.65","$145.65"
"27669","$122.61","$124.67","$167.65","$145.65"
"27670","$122.61","$124.67","$167.65","$145.65"
"28434","$122.61","$137.34","$154.98","$145.65"
"28435","$122.61","$137.34","$154.98","$145.65"
"29201","$122.61","$137.34","$190.84","$146.43"
"29202","$122.61","$137.34","$190.84","$146.43"
"29241","$122.61","$137.34","$190.84","$189.11"
"29241","$122.61","$137.34","$190.84","$189.11"
"30273","$122.61","$150.89","$177.29","$189.11"
"30276","$122.61","$150.89","$177.29","$189.11"
"30721","$127.66","$145.84","$177.29","$189.11"
"30721","$127.66","$145.84","$177.29","$189.11"
"32118","$127.66","$164.75","$158.38","$189.11"
"32119","$127.66","$164.75","$158.38","$189.11"
"32270","$127.66","$164.75","$158.38","$217.88"
"32275","$127.66","$164.75","$199.14","$244.02"
"32301","$127.66","$164.75","$199.14","$244.02"
"32301","$127.66","$164.75","$199.14","$244.02"
"33783","$133.16","$159.25","$199.14","$244.02"
"33784","$133.16","$159.25","$199.14","$244.02"
"33955","$133.16","$182.65","$175.73","$244.02"
"33956","$133.16","$182.65","$175.73","$244.02"
"34721","$133.16","$182.65","$217.53","$202.23"
"34722","$133.16","$182.65","$217.53","$202.23"
"35373","$133.16","$182.65","$217.53","$283.21"
"35373","$133.16","$182.65","$217.53","$283.21"
"35829","$133.16","$207.06","$193.11","$283.21"
"35829","$133.16","$207.06","$193.11","$283.21"
"36851","$140.75","$199.48","$193.11","$283.21"
"36851","$140.75","$199.48","$193.11","$283.21"
"37183","$140.75","$199.48","$241.62","$260.41"
"37184","$140.75","$199.48","$241.62","$260.41"
"37660","$140.75","$226.13","$214.98","$260.41"
"37658","$140.75","$226.13","$214.98","$260.41"
"38416","$140.75","$226.13","$214.98","$260.41"
"38417","$140.75","$226.13","$214.98","$260.41"
"39214","$140.75","$226.13","$214.98","$260.41"
"39219","$140.75","$226.13","$271.40","$203.99"
"39487","$140.75","$226.13","$271.40","$203.99"
"39904","$149.94","$247.80","$241.45","$203.99"
"39905","$149.94","$247.80","$241.45","$203.99"
"39905","$149.94","$247.80","$241.45","$203.99"
"40969","$149.94","$247.80","$300.02","$281.29"
"40970","$149.94","$247.80","$300.02","$281.29"
"41476","$149.94","$247.80","$300.02","$281.29"
"41477","$149.94","$247.80","$300.02","$281.29"
"41732","$149.94","$247.80","$300.02","$281.29"
