"Time","MEDICINE","WINE","FERTILIZER","IRON","PIG_IRON","STEEL","TOOLS"
"60","NaN","NaN","NaN","$1.20","$1.20","$1.20","NaN"
"63","NaN","NaN","NaN","$1.20","$1.20","$1.20","NaN"
"62","NaN","NaN","NaN","$1.20","$1.20","$1.20","NaN"
"62","NaN","NaN","NaN","$1.20","$1.20","$1.20","NaN"
"1631","NaN","NaN","NaN","$1.20","$1.20","$1.20","NaN"
"1632","NaN","NaN","NaN","$1.20","$1.20","$1.20","NaN"
"3167","NaN","NaN","NaN","$0.13","$1.20","$1.20","$1.20"
"3167","NaN","NaN","NaN","$0.13","$1.20","$1.20","$1.20"
"3173","NaN","NaN","NaN","$0.13","$1.20","$1.20","$1.20"
"3174","NaN","NaN","NaN","$0.13","$1.20","$1.20","$1.20"
"4682","NaN","NaN","NaN","$0.13","$1.57","$1.20","$1.20"
"4682","NaN","NaN","NaN","$0.13","$1.57","$1.20","$1.20"
"4708","NaN","NaN","NaN","$0.13","$1.57","$1.20","$1.20"
"4712","NaN","NaN","NaN","$0.13","$1.57","$1.20","$1.20"
"6216","NaN","NaN","NaN","$0.13","$1.57","$1.73","$1.88"
"6216","NaN","NaN","NaN","$0.13","$1.57","$1.73","$1.88"
"6238","NaN","NaN","NaN","$0.15","$1.57","$1.73","$1.88"
"6239","NaN","NaN","NaN","$0.15","$1.57","$1.73","$1.88"
"6261","NaN","NaN","NaN","$0.15","$1.57","$1.73","$1.88"
"6261","NaN","NaN","NaN","$0.15","$1.57","$1.73","$1.88"
"7793","NaN","NaN","NaN","$0.15","$1.57","$1.73","$1.88"
"7793","NaN","NaN","NaN","$0.15","$1.57","$1.73","$1.88"
"9291","NaN","NaN","NaN","$0.15","$0.62","$1.73","$1.88"
"9291","NaN","NaN","NaN","$0.15","$0.62","$1.73","$1.88"
"9311","NaN","NaN","NaN","$0.16","$0.62","$1.73","$1.88"
"9312","NaN","NaN","NaN","$0.16","$0.62","$1.73","$1.88"
"9322","NaN","NaN","NaN","$0.16","$0.62","$1.73","$1.88"
"9326","NaN","NaN","NaN","$0.16","$0.62","$1.73","$1.88"
"10853","NaN","NaN","NaN","$0.16","$0.62","$1.73","$1.88"
"10853","NaN","NaN","NaN","$0.16","$0.62","$1.73","$1.88"
"12345","NaN","NaN","NaN","$0.16","$0.62","$2.38","$2.78"
"12346","NaN","NaN","NaN","$0.16","$0.62","$2.38","$2.78"
"12377","NaN","NaN","NaN","$0.24","$0.62","$2.38","$2.78"
"12377","NaN","NaN","NaN","$0.24","$0.62","$2.38","$2.78"
"13879","NaN","NaN","NaN","$0.24","$0.65","$2.38","$2.78"
"13880","NaN","NaN","NaN","$0.24","$0.65","$2.38","$2.78"
"13912","NaN","NaN","NaN","$0.24","$0.65","$2.38","$2.78"
"13919","NaN","NaN","NaN","$0.24","$0.65","$2.38","$2.78"
"15437","NaN","NaN","NaN","$0.24","$0.65","$2.38","$2.78"
"15437","NaN","NaN","NaN","$0.24","$0.65","$2.38","$2.78"
"16421","NaN","NaN","NaN","$0.24","$0.65","$2.38","$3.93"
"16425","NaN","NaN","NaN","$0.24","$0.65","$1.73","$3.93"
"16975","NaN","NaN","NaN","$0.24","$0.65","$1.73","$3.93"
"16975","NaN","NaN","NaN","$0.24","$0.65","$1.73","$3.93"
"18477","NaN","NaN","NaN","$0.24","$0.88","$1.73","$3.93"
"18478","NaN","NaN","NaN","$0.24","$0.88","$1.73","$3.93"
"18509","NaN","NaN","NaN","$0.24","$0.88","$1.73","$3.93"
"18509","NaN","NaN","NaN","$0.24","$0.88","$1.73","$3.93"
"19498","NaN","NaN","NaN","$0.24","$0.88","$1.73","$3.84"
"19499","NaN","NaN","NaN","$0.24","$0.88","$2.20","$3.84"
"20030","NaN","NaN","NaN","$0.24","$0.88","$2.20","$3.84"
"20031","NaN","NaN","NaN","$0.24","$0.88","$2.20","$3.84"
"21557","NaN","NaN","NaN","$0.24","$0.88","$2.20","$3.84"
"21557","NaN","NaN","NaN","$0.24","$0.88","$2.20","$3.84"
"21945","NaN","NaN","NaN","$0.24","$0.88","$2.20","$3.84"
"23070","NaN","NaN","NaN","$0.24","$0.97","$2.57","$4.28"
"23070","NaN","NaN","NaN","$0.24","$0.97","$2.57","$4.28"
"23070","NaN","NaN","NaN","$0.24","$0.97","$2.57","$4.28"
"23096","NaN","NaN","NaN","$0.24","$0.97","$2.57","$4.28"
"23103","NaN","NaN","NaN","$0.24","$0.97","$2.57","$4.28"
"24614","NaN","NaN","NaN","$0.36","$0.97","$2.57","$4.28"
"24614","NaN","NaN","NaN","$0.36","$0.97","$2.57","$4.28"
"25517","NaN","NaN","NaN","$0.36","$0.97","$2.57","$5.91"
"26128","NaN","NaN","NaN","$0.36","$0.97","$2.57","$5.91"
"26130","NaN","NaN","NaN","$0.36","$1.24","$2.57","$5.91"
"26135","NaN","NaN","NaN","$0.36","$1.24","$3.29","$5.91"
"26159","NaN","NaN","NaN","$0.36","$1.24","$3.29","$5.91"
"26164","NaN","NaN","NaN","$0.36","$1.24","$3.29","$5.91"
"27669","NaN","NaN","NaN","$0.49","$1.24","$3.29","$5.91"
"27670","NaN","NaN","NaN","$0.49","$1.24","$3.29","$5.91"
"28434","NaN","NaN","NaN","$0.49","$1.27","$3.29","$5.91"
"28435","NaN","NaN","NaN","$0.49","$1.27","$3.29","$5.91"
"29201","NaN","NaN","NaN","$0.49","$1.27","$3.59","$7.11"
"29202","NaN","NaN","NaN","$0.49","$1.27","$3.59","$7.11"
"29241","NaN","NaN","NaN","$0.49","$1.27","$3.59","$7.11"
"29241","NaN","NaN","NaN","$0.49","$1.27","$3.59","$7.11"
"30273","NaN","NaN","NaN","$0.49","$1.36","$3.59","$7.11"
"30276","NaN","NaN","NaN","$0.49","$1.36","$3.59","$7.11"
"30721","NaN","NaN","NaN","$0.50","$1.36","$3.59","$7.11"
"30721","NaN","NaN","NaN","$0.50","$1.36","$3.59","$7.11"
"32118","NaN","NaN","NaN","$0.50","$1.89","$3.59","$7.11"
"32119","NaN","NaN","NaN","$0.50","$1.89","$3.59","$7.11"
"32270","NaN","NaN","NaN","$0.50","$1.89","$3.59","$7.43"
"32275","NaN","NaN","NaN","$0.50","$1.89","$4.08","$7.43"
"32301","NaN","NaN","NaN","$0.50","$1.89","$4.08","$7.43"
"32301","NaN","NaN","NaN","$0.50","$1.89","$4.08","$7.43"
"33783","NaN","NaN","NaN","$0.55","$1.89","$4.08","$7.43"
"33784","NaN","NaN","NaN","$0.55","$1.89","$4.08","$7.43"
"33955","NaN","NaN","NaN","$0.55","$2.34","$4.08","$7.43"
"33956","NaN","NaN","NaN","$0.55","$2.34","$4.08","$7.43"
"34721","NaN","NaN","NaN","$0.55","$2.34","$4.18","$7.43"
"34722","NaN","NaN","NaN","$0.55","$2.34","$4.18","$7.43"
"35373","NaN","NaN","NaN","$0.55","$2.34","$4.18","$8.10"
"35373","NaN","NaN","NaN","$0.55","$2.34","$4.18","$8.10"
"35829","NaN","NaN","NaN","$0.55","$2.44","$4.18","$8.10"
"35829","NaN","NaN","NaN","$0.55","$2.44","$4.18","$8.10"
"36851","NaN","NaN","NaN","$0.76","$2.44","$4.18","$8.10"
"36851","NaN","NaN","NaN","$0.76","$2.44","$4.18","$8.10"
"37183","NaN","NaN","NaN","$0.76","$2.44","$4.85","$8.57"
"37184","NaN","NaN","NaN","$0.76","$2.44","$4.85","$8.57"
"37660","NaN","NaN","NaN","$0.76","$2.66","$4.85","$8.57"
"37658","NaN","NaN","NaN","$0.76","$2.66","$4.85","$8.57"
"38416","NaN","NaN","NaN","$0.76","$2.66","$4.85","$8.57"
"38417","NaN","NaN","NaN","$0.76","$2.66","$4.85","$8.57"
"39214","NaN","NaN","NaN","$0.76","$2.66","$4.85","$8.57"
"39219","NaN","NaN","NaN","$0.76","$2.66","$5.64","$8.57"
"39487","NaN","NaN","NaN","$0.76","$2.66","$5.64","$8.57"
"39904","NaN","NaN","NaN","$0.92","$2.99","$5.64","$8.57"
"39905","NaN","NaN","NaN","$0.92","$2.99","$5.64","$8.57"
"39905","NaN","NaN","NaN","$0.92","$2.99","$5.64","$8.57"
"40969","NaN","NaN","NaN","$0.92","$2.99","$5.86","$9.48"
"40970","NaN","NaN","NaN","$0.92","$2.99","$5.86","$9.48"
"41476","NaN","NaN","NaN","$0.92","$2.99","$5.86","$9.48"
"41477","NaN","NaN","NaN","$0.92","$2.99","$5.86","$9.48"
"41732","NaN","NaN","NaN","$0.92","$2.99","$5.86","$9.48"
"42497","NaN","NaN","NaN","$0.92","$2.99","$5.86","$9.48"
"42505","NaN","NaN","NaN","$0.92","$2.99","$6.09","$9.48"
"42948","NaN","NaN","NaN","$0.96","$3.39","$6.09","$9.48"
"42949","NaN","NaN","NaN","$0.96","$3.39","$6.09","$9.48"
"42949","NaN","NaN","NaN","$0.96","$3.39","$6.09","$9.48"
"43861","NaN","NaN","NaN","$0.96","$3.39","$7.61","$11.02"
"43862","NaN","NaN","NaN","$0.96","$3.39","$7.61","$11.02"
"44528","NaN","NaN","NaN","$0.96","$3.39","$7.61","$11.02"
"44529","NaN","NaN","NaN","$0.96","$3.39","$7.61","$11.02"
"45218","NaN","NaN","NaN","$0.96","$3.39","$7.61","$11.02"
"45238","NaN","NaN","NaN","$0.96","$3.39","$10.05","$11.02"
"45239","NaN","NaN","NaN","$0.96","$3.39","$10.05","$11.02"
"46005","NaN","NaN","NaN","$0.96","$3.83","$10.05","$11.02"
"46011","NaN","NaN","NaN","$1.04","$3.83","$10.05","$11.02"
"46005","NaN","NaN","NaN","$1.04","$3.83","$10.05","$11.02"
"46607","NaN","NaN","NaN","$1.04","$3.83","$10.05","$12.04"
"47594","NaN","NaN","NaN","$1.04","$3.83","$10.05","$12.04"
"47594","NaN","NaN","NaN","$1.04","$3.83","$10.05","$12.04"
"48039","NaN","NaN","NaN","$1.04","$3.83","$10.05","$12.04"
"48043","NaN","NaN","NaN","$1.10","$3.83","$10.05","$12.04"
"49061","NaN","NaN","NaN","$1.10","$4.17","$9.83","$12.04"
"49061","NaN","NaN","NaN","$1.10","$4.17","$9.83","$12.04"
"49061","NaN","NaN","NaN","$1.10","$4.17","$9.83","$12.04"
"49574","NaN","NaN","NaN","$1.22","$4.17","$9.83","$16.87"
"49574","NaN","NaN","NaN","$1.22","$4.17","$9.83","$16.87"
"50585","NaN","NaN","NaN","$1.22","$4.17","$9.83","$16.87"
"50635","NaN","NaN","NaN","$1.22","$4.17","$9.83","$16.87"
"50636","NaN","NaN","NaN","$1.22","$4.17","$9.83","$16.87"
"51103","NaN","NaN","NaN","$1.41","$4.17","$9.83","$16.87"
"51103","NaN","NaN","NaN","$1.41","$4.17","$9.83","$16.87"
"52106","NaN","NaN","NaN","$1.41","$5.49","$10.85","$16.87"
"52106","NaN","NaN","NaN","$1.41","$5.49","$10.85","$16.87"
"52108","NaN","NaN","NaN","$1.41","$5.49","$10.85","$16.87"
