"time","Iron Mine","Smelters","Steel Mill","Equipment Manufactory"
"0","2","2","2","2"
"10854","1","2","2","2"
"12345","1","2","2","3"
"16421","1","2","2","4"
"19498","1","2","2","5"
"21945","1","2","2","6"
"23071","1","2","3","5"
"23070","1","2","3","5"
"26129","1","2","4","5"
"26135","1","2","4","4"
"28435","1","2","5","4"
"32271","1","2","5","5"
"37183","1","2","5","6"
"39214","1","2","5","7"
"40969","1","2","5","8"
"42502","1","2","5","9"
"42949","1","2","4","9"
"46005","1","3","4","9"
"46012","1","3","3","9"
"48040","1","4","3","9"
"49062","1","4","3","8"
"52106","1","4","4","8"
"52108","1","4","4","7"
"54399","1","4","5","7"
"54408","1","4","5","6"
"56253","1","4","6","6"
"56465","1","4","6","7"
"59818","1","3","6","7"
"62862","2","3","6","7"
"62870","2","2","6","7"
"64391","3","2","6","7"
"65227","3","2","6","8"
"65410","4","2","6","8"
"65930","4","2","5","8"
"67715","3","2","5","8"
"68288","3","2","5","9"
"68734","2","2","5","9"
"68993","2","2","4","9"
"69651","2","2","4","10"
"70266","1","2","4","10"
"71285","1","2","4","9"
"72040","1","3","4","9"
"72048","1","3","3","9"
"74076","1","4","3","9"
"75088","1","4","4","9"
"75110","1","4","4","8"
"77403","1","4","5","8"
"77405","1","4","5","7"
"79155","1","4","5","8"
"79239","1","4","6","8"
"80780","1","4","6","9"
"82173","1","4","6","10"
"85381","1","4","7","10"
"88584","1","3","7","10"
"91628","2","3","7","10"
"91636","2","2","7","10"
"91854","2","2","7","11"
"93058","2","2","7","12"
"93161","3","2","7","12"
"94193","4","2","7","12"
"94702","4","2","6","12"
"96228","4","2","6","11"
"96501","3","2","6","11"
"97516","2","2","6","11"
"97745","2","3","6","11"
"97750","2","3","5","11"
"99049","1","3","5","11"
"99589","1","3","6","11"
"99594","1","3","6","10"
"99790","1","4","6","10"
"100839","1","4","6","11"
"101337","1","5","6","11"
"101340","1","5","7","11"
"102465","1","5","7","12"
"102661","1","5","8","12"
"103704","1","5","8","13"
"103816","1","5","9","13"
"104770","1","5","9","14"
"105734","1","5","9","15"
"109763","1","5","10","15"
"110590","1","5","10","16"
"111318","1","4","10","16"
"111681","1","4","10","17"
"112844","1","4","9","17"
"113864","1","4","10","17"
"113864","1","4","10","16"
"114375","2","4","10","16"
"114377","2","3","10","16"
"115914","3","3","10","16"
"116422","3","4","10","16"
"116424","3","4","9","16"
"117449","3","4","10","16"
"117452","3","4","10","15"
"117947","3","5","10","15"
"118277","3","5","10","16"
"118877","3","5","11","16"
"118878","3","5","11","15"
"119180","3","6","11","15"
"119703","3","6","11","16"
"120021","3","6","12","16"
"120199","3","7","12","16"
"120791","3","7","12","17"
"120981","3","7","13","17"
"121712","3","7","13","18"
"122500","3","7","13","19"
"124242","3","7","13","20"
"125088","3","7","13","21"
"125955","3","7","13","22"
"128595","3","7","13","23"
"129458","3","7","13","24"
"130399","3","7","13","25"
"131925","3","7","13","24"
"132452","3","7","13","25"
"132938","3","7","14","25"
"133443","3","7","14","26"
"133907","3","7","15","26"
"134388","3","7","15","27"
"134887","3","7","16","27"
"135354","3","7","16","28"
"135874","3","7","17","28"
"135875","3","7","17","27"
"136861","3","7","18","27"
"136862","3","7","18","26"
"137340","3","7","18","27"
"137854","3","7","19","27"
"137856","3","7","19","26"
"138333","3","7","19","27"
"138361","3","8","19","27"
"138362","3","8","18","27"
"138882","3","8","19","27"
"138885","3","8","19","26"
"139281","3","9","19","26"
"139363","3","9","19","27"
"139772","3","9","20","27"
"140236","3","9","20","28"
"141248","3","9","19","28"
"141743","3","9","19","27"
"142210","3","9","19","28"
"142274","3","10","19","28"
"142275","3","10","18","28"
"142795","3","10","19","28"
"142800","3","10","19","27"
"143251","3","11","19","27"
"143262","3","11","19","28"
"143752","3","11","20","28"
"144208","3","11","20","29"
"144233","3","12","20","29"
"144707","3","12","21","29"
"145151","3","12","21","30"
"145227","3","13","21","30"
"145229","3","13","20","30"
"145693","3","13","21","30"
"145696","3","13","21","29"
"145734","3","12","21","29"
"146130","3","12","21","30"
"146245","3","13","21","30"
"146248","3","13","20","30"
"146718","3","13","21","29"
"146723","3","13","21","29"
"146759","4","13","21","29"
"146770","4","12","21","29"
"147159","4","12","21","30"
"147291","4","13","20","30"
"147292","4","13","20","30"
"147537","5","13","20","30"
"147757","5","13","21","30"
"147762","5","13","21","29"
"148014","5","14","21","29"
"148471","5","14","22","29"
"148911","5","14","22","30"
"149453","5","14","22","31"
